,pct_sfr_ho
MenloPark,81.3
Piedmont,100.0
Windsor,100.0
UnincorpSM,99.9
HalfMoonBay,100.0
WalnutCreek,94.3
Novato,96.6
Gilroy,100.0
SanCarlos,89.2
ElCerrito,100.0
Yountville,65.0
Pacifica,92.7
Clayton,95.39999999999999
Foster,63.1
Milpitas,91.10000000000001
Calistoga,91.5
Campbell,77.0
Dixon,97.8
Cupertino,94.5
LosAltosHills,100.0
Hillsborough,100.0
Ross,100.0
Millbrae,96.0
SanJose,92.5
MillValley,93.5
Healdsburg,93.7
SanFrancisco,54.800000000000004
EastPaloAlto,0.0
StHelena,87.8
Alameda,52.300000000000004
SanAnselmo,94.5
Newark,87.8
Concord,91.4
Danville,94.8
UnincorpSolano,100.0
Napa,100.0
SantaClara,67.30000000000001
Moraga,90.60000000000001
Saratoga,98.3
Berkeley,58.699999999999996
Sausalito,58.099999999999994
Sonoma,100.0
Atherton,100.0
Belmont,95.8
Redwood,81.3
Woodside,100.0
Livermore,98.4
SanMateo,72.89999999999999
Fairfax,97.8
MonteSereno,100.0
Lafayette,99.4
UnincorpSonoma,99.7
UnincorpNapa,100.0
Larkspur,76.1
Vacaville,100.0
Albany,80.10000000000001
PaloAlto,96.5
Burlingame,84.39999999999999
Petaluma,86.0
UnincorpCC,99.8
DalyCity,95.8
PleasantHill,95.89999999999999
Sebastopol,74.5
SanBruno,90.9
Fremont,93.2
LosGatos,96.7
UnincorpAlameda,98.4
UnionCity,96.5
Richmond,4.3
PortolaValley,100.0
SanRamon,87.5
SanRafael,92.80000000000001
UnincorpMarin,55.800000000000004
CorteMadera,90.0
Martinez,99.0
Dublin,66.9
SantaRosa,95.5
MountainView,61.4
Sunnyvale,90.3
LosAltos,98.0
Belvedere,92.0
Oakland,88.7
Pleasanton,93.60000000000001
Orinda,99.9
SouthSanFrancisco,49.9
UnincorpSC,99.7
Tiburon,89.60000000000001
